House,Precinct,,,,,Senate,,,,,County
33,3,Aiea High Sch,98-1276 Ulune St ,Caf,I,16,VIII,DOE,21.384852,-157.929868,City and County of Honolulu
33,4,Aiea High Sch,98-1276 Ulune St ,Caf,I,16,VI,DOE,21.384852,-157.930868,City and County of Honolulu
34,1,Waimalu Elem Sch,98-825 Moanalua Rd,Caf,I,16,VIII,DOE,21.390017,-157.949725,City and County of Honolulu
33,5,Pearlridge Elem Sch,98-940 Moanalua Rd ,Caf,I,16,VIII,DOE,21.388822,-157.944897,City and County of Honolulu
31,6,Aiea Elem Sch,99-370 Moanalua Rd ,Caf,I,16,VIII,DOE,21.375798,-157.930078,City and County of Honolulu
31,5,,,,I,16,VII,,,,City and County of Honolulu
35,2,Manana Elem Sch ,1147 Kumano St ,Caf,I,17,VIII,DOE,21.408558,-157.971654,City and County of Honolulu
34,3,Palisades Elem Sch,2306 Auhuhu St,Caf,I,17,VIII,DOE,21.424993,-157.952761,City and County of Honolulu
38,1,August Ahrens Elem Sch,94-1170 Waipahu St,Caf,I,17,VIII,DOE,21.392149,-158.002761,City and County of Honolulu
38,2,Waipahu High Sch,94-1211 Farrington Hwy,Caf,I,17,VIII,DOE,21.388227,-157.993376,City and County of Honolulu
35,4,Crestview Comm Park ,94-1220 Lumikula St ,Rec Ctr,I,17,VIII,P,21.409223,-157.994871,City and County of Honolulu
35,6,Waipahu Field ,94-230 Paiwa St ,Rec Bldg,I,17,VIII,C,21.387089,-158.000111,City and County of Honolulu
39,1,Waipahu Elem Sch,94-465 Waipahu St,Caf,I,17,IX,DOE,21.385638,-158.016882,City and County of Honolulu
38,3,Waipahu Elem Sch,94-465 Waipahu St,Caf,I,17,IX,DOE,21.385638,-158.015882,City and County of Honolulu
37,4,Waikele Elem Sch,94-1035 Kukula St,Caf,I,18,IX,DOE,21.40205,-158.013017,City and County of Honolulu
35,5,Waikele Elem Sch ,94-1035 Kukula St ,Caf,I,18,IX,DOE,21.40205,-158.012017,City and County of Honolulu
37,1,Kanoelani Elem Sch,94-1091 Oli Loop,Caf,I,18,VIII,DOE,21.415958,-157.999019,City and County of Honolulu
45,1,Mililani District Park,94-200 Lanikuhana Ave ,Rec Ctr,I,18,IX,C,21.432616,-158.019619,City and County of Honolulu
37,3,Mililani Uka Elem Sch,94-380 Kuahelani Ave,Caf,I,18,IX,DOE,21.437628,-158.015826,City and County of Honolulu
39,2,Kaleiopuu Elem Sch,94-665 Kaaholo St,Caf,II,18,IX,DOE,21.391323,-158.028029,City and County of Honolulu
